Variable,Technique,REAL_Range,Synthetic_Range,Same_As_REAL
AGE,REAL,"[15.33, 16.25]","[15.33, 16.25]",-
AGE,CTGAN,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,GReaT,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,PredLLM,"[15.33, 16.25]","[15.33, 16.37]",✗
AGE,REaLTabFormer,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabDiff,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TabSyn,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,Tabula,"[15.33, 16.25]","[15.33, 16.25]",✓
AGE,TapTap,"[15.33, 16.25]","[15.33, 16.25]",✓
ESCS,REAL,"[-2.94, 2.77]","[-2.94, 2.77]",-
ESCS,CTGAN,"[-2.94, 2.77]","[-2.94, 2.2]",✗
ESCS,GReaT,"[-2.94, 2.77]","[-2.27, 1.97]",✗
ESCS,PredLLM,"[-2.94, 2.77]","[-2.67, 1.97]",✗
ESCS,REaLTabFormer,"[-2.94, 2.77]","[-3.07, 2.8]",✗
ESCS,TabDiff,"[-2.94, 2.77]","[-2.94, 2.77]",✓
ESCS,TabSyn,"[-2.94, 2.77]","[-2.92, 2.66]",✗
ESCS,Tabula,"[-2.94, 2.77]","[-2.91, 2.17]",✗
ESCS,TapTap,"[-2.94, 2.77]","[-2.67, 1.93]",✗
MCLSIZE,REAL,"[18.0, 38.0]","[18.0, 38.0]",-
MCLSIZE,CTGAN,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,GReaT,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,PredLLM,"[18.0, 38.0]","[18.04, 37.96]",✗
MCLSIZE,REaLTabFormer,"[18.0, 38.0]","[14.99, 41.0]",✗
MCLSIZE,TabDiff,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TabSyn,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,Tabula,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TapTap,"[18.0, 38.0]","[18.0, 38.0]",✓
PV10MATH,REAL,"[238.5, 817.24]","[238.5, 817.24]",-
PV10MATH,CTGAN,"[238.5, 817.24]","[238.5, 816.4]",✗
PV10MATH,GReaT,"[238.5, 817.24]","[331.71, 817.24]",✗
PV10MATH,PredLLM,"[238.5, 817.24]","[238.12, 817.28]",✗
PV10MATH,REaLTabFormer,"[238.5, 817.24]","[188.77, 825.34]",✗
PV10MATH,TabDiff,"[238.5, 817.24]","[238.5, 817.23]",✗
PV10MATH,TabSyn,"[238.5, 817.24]","[246.58, 816.28]",✗
PV10MATH,Tabula,"[238.5, 817.24]","[382.87, 841.74]",✗
PV10MATH,TapTap,"[238.5, 817.24]","[238.53, 817.28]",✗
PV1MATH,REAL,"[237.55, 943.04]","[237.55, 943.04]",-
PV1MATH,CTGAN,"[237.55, 943.04]","[237.55, 916.34]",✗
PV1MATH,GReaT,"[237.55, 943.04]","[363.17, 816.91]",✗
PV1MATH,PredLLM,"[237.55, 943.04]","[207.22, 817.36]",✗
PV1MATH,REaLTabFormer,"[237.55, 943.04]","[188.98, 943.04]",✗
PV1MATH,TabDiff,"[237.55, 943.04]","[246.64, 942.56]",✗
PV1MATH,TabSyn,"[237.55, 943.04]","[249.4, 936.57]",✗
PV1MATH,Tabula,"[237.55, 943.04]","[372.88, 843.42]",✗
PV1MATH,TapTap,"[237.55, 943.04]","[206.71, 816.96]",✗
PV2MATH,REAL,"[277.13, 878.47]","[277.13, 878.47]",-
PV2MATH,CTGAN,"[277.13, 878.47]","[277.13, 856.77]",✗
PV2MATH,GReaT,"[277.13, 878.47]","[358.01, 878.47]",✗
PV2MATH,PredLLM,"[277.13, 878.47]","[286.0, 878.47]",✗
PV2MATH,REaLTabFormer,"[277.13, 878.47]","[281.93, 868.27]",✗
PV2MATH,TabDiff,"[277.13, 878.47]","[277.13, 878.45]",✗
PV2MATH,TabSyn,"[277.13, 878.47]","[277.13, 878.33]",✗
PV2MATH,Tabula,"[277.13, 878.47]","[365.83, 861.0]",✗
PV2MATH,TapTap,"[277.13, 878.47]","[209.83, 878.88]",✗
PV3MATH,REAL,"[282.47, 838.13]","[282.47, 838.13]",-
PV3MATH,CTGAN,"[282.47, 838.13]","[282.47, 838.13]",✓
PV3MATH,GReaT,"[282.47, 838.13]","[355.48, 831.71]",✗
PV3MATH,PredLLM,"[282.47, 838.13]","[287.29, 831.41]",✗
PV3MATH,REaLTabFormer,"[282.47, 838.13]","[289.3, 809.28]",✗
PV3MATH,TabDiff,"[282.47, 838.13]","[282.49, 838.12]",✗
PV3MATH,TabSyn,"[282.47, 838.13]","[290.34, 837.78]",✗
PV3MATH,Tabula,"[282.47, 838.13]","[376.56, 819.93]",✗
PV3MATH,TapTap,"[282.47, 838.13]","[282.46, 838.14]",✗
PV4MATH,REAL,"[201.46, 833.41]","[201.46, 833.41]",-
PV4MATH,CTGAN,"[201.46, 833.41]","[201.46, 833.41]",✓
PV4MATH,GReaT,"[201.46, 833.41]","[298.99, 802.52]",✗
PV4MATH,PredLLM,"[201.46, 833.41]","[274.54, 882.67]",✗
PV4MATH,REaLTabFormer,"[201.46, 833.41]","[201.78, 860.84]",✗
PV4MATH,TabDiff,"[201.46, 833.41]","[201.48, 833.41]",✗
PV4MATH,TabSyn,"[201.46, 833.41]","[211.7, 833.39]",✗
PV4MATH,Tabula,"[201.46, 833.41]","[381.94, 850.97]",✗
PV4MATH,TapTap,"[201.46, 833.41]","[203.23, 833.6]",✗
PV5MATH,REAL,"[206.36, 850.7]","[206.36, 850.7]",-
PV5MATH,CTGAN,"[206.36, 850.7]","[206.36, 850.7]",✓
PV5MATH,GReaT,"[206.36, 850.7]","[331.71, 806.68]",✗
PV5MATH,PredLLM,"[206.36, 850.7]","[205.9, 874.75]",✗
PV5MATH,REaLTabFormer,"[206.36, 850.7]","[278.15, 870.62]",✗
PV5MATH,TabDiff,"[206.36, 850.7]","[206.76, 806.68]",✗
PV5MATH,TabSyn,"[206.36, 850.7]","[211.34, 806.68]",✗
PV5MATH,Tabula,"[206.36, 850.7]","[367.68, 840.07]",✗
PV5MATH,TapTap,"[206.36, 850.7]","[206.31, 850.7]",✗
PV6MATH,REAL,"[266.06, 851.73]","[266.06, 851.73]",-
PV6MATH,CTGAN,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,GReaT,"[266.06, 851.73]","[360.81, 851.73]",✗
PV6MATH,PredLLM,"[266.06, 851.73]","[214.99, 811.07]",✗
PV6MATH,REaLTabFormer,"[266.06, 851.73]","[211.95, 865.81]",✗
PV6MATH,TabDiff,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,TabSyn,"[266.06, 851.73]","[266.68, 851.71]",✗
PV6MATH,Tabula,"[266.06, 851.73]","[391.1, 859.99]",✗
PV6MATH,TapTap,"[266.06, 851.73]","[258.28, 851.72]",✗
PV7MATH,REAL,"[238.54, 876.15]","[238.54, 876.15]",-
PV7MATH,CTGAN,"[238.54, 876.15]","[238.54, 841.32]",✗
PV7MATH,GReaT,"[238.54, 876.15]","[348.12, 876.15]",✗
PV7MATH,PredLLM,"[238.54, 876.15]","[232.91, 875.63]",✗
PV7MATH,REaLTabFormer,"[238.54, 876.15]","[194.08, 872.57]",✗
PV7MATH,TabDiff,"[238.54, 876.15]","[238.56, 876.15]",✗
PV7MATH,TabSyn,"[238.54, 876.15]","[239.58, 874.96]",✗
PV7MATH,Tabula,"[238.54, 876.15]","[367.19, 835.5]",✗
PV7MATH,TapTap,"[238.54, 876.15]","[231.07, 881.76]",✗
PV8MATH,REAL,"[293.77, 828.84]","[293.77, 828.84]",-
PV8MATH,CTGAN,"[293.77, 828.84]","[293.77, 828.84]",✓
PV8MATH,GReaT,"[293.77, 828.84]","[321.39, 827.8]",✗
PV8MATH,PredLLM,"[293.77, 828.84]","[254.08, 843.56]",✗
PV8MATH,REaLTabFormer,"[293.77, 828.84]","[293.85, 870.08]",✗
PV8MATH,TabDiff,"[293.77, 828.84]","[293.77, 828.83]",✗
PV8MATH,TabSyn,"[293.77, 828.84]","[295.57, 828.78]",✗
PV8MATH,Tabula,"[293.77, 828.84]","[375.9, 841.73]",✗
PV8MATH,TapTap,"[293.77, 828.84]","[211.96, 832.24]",✗
PV9MATH,REAL,"[269.98, 841.66]","[269.98, 841.66]",-
PV9MATH,CTGAN,"[269.98, 841.66]","[269.98, 841.66]",✓
PV9MATH,GReaT,"[269.98, 841.66]","[372.01, 841.66]",✗
PV9MATH,PredLLM,"[269.98, 841.66]","[270.24, 842.06]",✗
PV9MATH,REaLTabFormer,"[269.98, 841.66]","[186.38, 887.52]",✗
PV9MATH,TabDiff,"[269.98, 841.66]","[269.99, 841.66]",✗
PV9MATH,TabSyn,"[269.98, 841.66]","[269.98, 841.51]",✗
PV9MATH,Tabula,"[269.98, 841.66]","[358.87, 838.36]",✗
PV9MATH,TapTap,"[269.98, 841.66]","[269.93, 883.99]",✗
SCHSIZE,REAL,"[315.0, 4020.0]","[315.0, 4020.0]",-
SCHSIZE,CTGAN,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,GReaT,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,PredLLM,"[315.0, 4020.0]","[314.71, 4018.29]",✗
SCHSIZE,REaLTabFormer,"[315.0, 4020.0]","[164.91, 4018.29]",✗
SCHSIZE,TabDiff,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,TabSyn,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,Tabula,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,TapTap,"[315.0, 4020.0]","[63.37, 4019.96]",✗
