,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,ST268Q01JA,ST268Q04JA,ST268Q07JA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC064Q05WA,SC064Q06WA,MISCED,ESCS,ESCS_z,ST001D01T,SCHSIZE,SCHSIZE_z
PV1MATH,1.0,0.9223407853302235,0.9242038357011781,0.9244175805569783,0.9231796063391643,0.9236592511307986,0.9225339812324987,0.9239188474915352,0.9229761912769816,0.9225024508688393,0.3310117133854187,0.31211688752580086,0.2880384108979466,0.09540514789145717,0.07954141010440226,0.08542675992833855,0.06273949638568896,0.05878447463633382,0.017420333226760495,0.17802372681454898,0.332695482578423,0.33269548257842485,0.13204907649250824,0.13679396826603304,0.1367939682660317
PV2MATH,0.9223407853302235,1.0,0.9225904949960062,0.9242566971490653,0.922899358320477,0.923069488346551,0.9228605745541855,0.9229897829012494,0.9228403104383852,0.9235745487376749,0.3293743466663691,0.3069477465692768,0.2846556597954635,0.09694995977982997,0.07951392853127535,0.0813182550286831,0.0568728585242248,0.06073025988527835,0.018967804423493873,0.17816817878146918,0.3305376664226993,0.3305376664226992,0.12868099102876102,0.13761860819448551,0.13761860819448415
PV3MATH,0.9242038357011781,0.9225904949960062,1.0,0.9242322939185683,0.923281151815576,0.9232411326075117,0.9219732558401812,0.9242525165165872,0.923031910982927,0.9239651136147782,0.33170691854738915,0.31276110586883177,0.2851270418243274,0.09965658811532326,0.07678820995083893,0.08631666067417589,0.06110046671101942,0.061821070619428084,0.015015834415629392,0.175730453756595,0.3317959602469418,0.33179596024694147,0.1299146633756155,0.13180699945880897,0.13180699945880955
PV4MATH,0.9244175805569783,0.9242566971490653,0.9242322939185683,1.0,0.9239557879810625,0.9244338141963234,0.9234237207014446,0.9239227787001663,0.9235306120689958,0.9234631646377015,0.3317785479333507,0.31288818493923987,0.2859229589157089,0.09907837890412687,0.07614085971861123,0.0872462785856171,0.0625711569810266,0.06194777531238381,0.016483230013765168,0.1734734742895006,0.33131734625247455,0.3313173462524747,0.13117942946113512,0.13214640760403418,0.13214640760403473
PV5MATH,0.9231796063391643,0.922899358320477,0.923281151815576,0.9239557879810625,1.0,0.9227156458095866,0.9237350710087237,0.9236499344926399,0.9232005204002374,0.92327583764918,0.33599361512015374,0.31271967477630297,0.2900792321689196,0.0991812386674027,0.08103804193823001,0.08572657084952569,0.06211846360854476,0.061153722204335605,0.01763003571524424,0.17477348520480754,0.33104385555840515,0.3310438555584072,0.13070879428648186,0.13404483445516305,0.13404483445516338
PV6MATH,0.9236592511307986,0.923069488346551,0.9232411326075117,0.9244338141963234,0.9227156458095866,1.0,0.9215650181136262,0.9227214666722754,0.92315727642105,0.9237868555593526,0.3296381959850772,0.3105659306901613,0.28500241750497307,0.09680034641616345,0.07754572087113949,0.08362506269044126,0.06094092534924395,0.05940295208321906,0.016067569246732954,0.1769793681835409,0.3299035029038832,0.32990350290387943,0.12792803621434548,0.13503227760080352,0.1350322776008046
PV7MATH,0.9225339812324987,0.9228605745541855,0.9219732558401812,0.9234237207014446,0.9237350710087237,0.9215650181136262,1.0,0.9238650484424156,0.923937527659797,0.9233183495132289,0.33457101879132434,0.3139594775504509,0.28825063220408303,0.0983224085702406,0.08254092913104503,0.08295281560013346,0.06237356426539096,0.05951353270720048,0.01682379238053266,0.180279364113162,0.3342687244900449,0.3342687244900454,0.13003462181637562,0.13512712849660283,0.1351271284966032
PV8MATH,0.9239188474915352,0.9229897829012494,0.9242525165165872,0.9239227787001663,0.9236499344926399,0.9227214666722754,0.9238650484424156,1.0,0.9226420773568471,0.9240164507195137,0.33119459057367884,0.3116311420330993,0.28962759893318457,0.09613127291685222,0.0804442050348433,0.08139186969184806,0.05719400116050853,0.05781367231461659,0.017519150697554747,0.18015179343281942,0.3337710765583645,0.3337710765583607,0.1297096777433686,0.13031055203905054,0.13031055203905173
PV9MATH,0.9229761912769816,0.9228403104383852,0.923031910982927,0.9235306120689958,0.9232005204002374,0.92315727642105,0.923937527659797,0.9226420773568471,1.0,0.9236762359059196,0.3321001517505424,0.31392583314968503,0.28396821270855593,0.09814052657092544,0.07990922292541863,0.08464353091091943,0.06213945370600171,0.06087633918065947,0.01874653980455619,0.17551889083668082,0.3295056786891418,0.32950567868913855,0.12881151946764138,0.13528095343762808,0.13528095343762922
PV10MATH,0.9225024508688393,0.9235745487376749,0.9239651136147782,0.9234631646377015,0.92327583764918,0.9237868555593526,0.9233183495132289,0.9240164507195137,0.9236762359059196,1.0,0.3319201490545999,0.3130160312689652,0.28771172403394546,0.097479191648341,0.07915398521634452,0.08308286455546865,0.06251158751083878,0.05911632930743037,0.018420894036966045,0.1796882980344077,0.3345393488162055,0.3345393488162034,0.1266235635106548,0.13324513671135496,0.13324513671135554
ST268Q01JA,0.3310117133854187,0.3293743466663691,0.33170691854738915,0.3317785479333507,0.33599361512015374,0.3296381959850772,0.33457101879132434,0.33119459057367884,0.3321001517505424,0.3319201490545999,1.0,0.7338706654608522,0.36767599120284766,0.02281241916078803,0.07010409733135922,-0.004840066308502366,-0.003162026758001887,0.009985561145113378,0.034317958139443015,0.059102428611043395,0.10543614335941683,0.10543614335941645,0.0064968507165589435,0.023497045318183425,0.02349704531818335
ST268Q04JA,0.31211688752580086,0.3069477465692768,0.31276110586883177,0.31288818493923987,0.31271967477630297,0.3105659306901613,0.3139594775504509,0.3116311420330993,0.31392583314968503,0.3130160312689652,0.7338706654608522,1.0,0.2552343652128759,0.029141308459262927,0.05847210248201066,-0.03494686192042305,-0.015679667952467516,0.0258114849830167,0.04453590080827966,0.05957166218842593,0.10821770840509255,0.10821770840509279,-0.03186345780294621,0.04928892677914687,0.04928892677914696
ST268Q07JA,0.2880384108979466,0.2846556597954635,0.2851270418243274,0.2859229589157089,0.2900792321689196,0.28500241750497307,0.28825063220408303,0.28962759893318457,0.28396821270855593,0.28771172403394546,0.36767599120284766,0.2552343652128759,1.0,-0.004258815611571837,0.08025099945277037,0.006947208072340296,-0.014211718333075071,-0.04170630229604223,-0.0352093008585342,0.1381396595028448,0.21443267288938428,0.2144326728893822,0.12752115624946758,-0.028712157747676572,-0.028712157747676326
SC064Q01TA,0.09540514789145717,0.09694995977982997,0.09965658811532326,0.09907837890412687,0.0991812386674027,0.09680034641616345,0.0983224085702406,0.09613127291685222,0.09814052657092544,0.097479191648341,0.02281241916078803,0.029141308459262927,-0.004258815611571837,1.0,0.2758902302315636,0.4141580242295502,0.4272853087492149,0.8307495112014305,0.31696066514933685,0.020075108376668864,0.0622010233246994,0.06220102332469934,-0.06882324732324617,0.16658009960073208,0.16658009960073183
SC064Q02TA,0.07954141010440226,0.07951392853127535,0.07678820995083893,0.07614085971861123,0.08103804193823001,0.07754572087113949,0.08254092913104503,0.0804442050348433,0.07990922292541863,0.07915398521634452,0.07010409733135922,0.05847210248201066,0.08025099945277037,0.2758902302315636,1.0,0.17785374805353704,0.17109890956867763,0.24276878347111697,0.6483816231402821,0.05663323915892987,0.0445361549589287,0.04453615495892883,0.02325668302203566,0.01130881830987677,0.011308818309876827
SC064Q03TA,0.08542675992833855,0.0813182550286831,0.08631666067417589,0.0872462785856171,0.08572657084952569,0.08362506269044126,0.08295281560013346,0.08139186969184806,0.08464353091091943,0.08308286455546865,-0.004840066308502366,-0.03494686192042305,0.006947208072340296,0.4141580242295502,0.17785374805353704,1.0,0.43574350873823325,0.38320314382470194,0.19680549559143248,0.024578153108382204,0.042250904245384704,0.04225090424538406,0.004585131609156212,0.022094104901650403,0.022094104901650008
SC064Q04NA,0.06273949638568896,0.0568728585242248,0.06110046671101942,0.0625711569810266,0.06211846360854476,0.06094092534924395,0.06237356426539096,0.05719400116050853,0.06213945370600171,0.06251158751083878,-0.003162026758001887,-0.015679667952467516,-0.014211718333075071,0.4272853087492149,0.17109890956867763,0.43574350873823325,1.0,0.3976749011610708,0.21792127593827296,0.05857377566236656,0.05396749894537044,0.05396749894537011,-0.0673752776184746,0.11063522834484474,0.11063522834484574
SC064Q05WA,0.05878447463633382,0.06073025988527835,0.061821070619428084,0.06194777531238381,0.061153722204335605,0.05940295208321906,0.05951353270720048,0.05781367231461659,0.06087633918065947,0.05911632930743037,0.009985561145113378,0.0258114849830167,-0.04170630229604223,0.8307495112014305,0.24276878347111697,0.38320314382470194,0.3976749011610708,1.0,0.40079155361559266,-0.014341442831512142,0.00037143795469136813,0.0003714379546911645,-0.11315637783220624,0.17629636320483763,0.17629636320483588
SC064Q06WA,0.017420333226760495,0.018967804423493873,0.015015834415629392,0.016483230013765168,0.01763003571524424,0.016067569246732954,0.01682379238053266,0.017519150697554747,0.01874653980455619,0.018420894036966045,0.034317958139443015,0.04453590080827966,-0.0352093008585342,0.31696066514933685,0.6483816231402821,0.19680549559143248,0.21792127593827296,0.40079155361559266,1.0,-0.022935088132555258,-0.08956307582915934,-0.08956307582915901,-0.1086084065054303,0.1420403846590299,0.142040384659031
MISCED,0.17802372681454898,0.17816817878146918,0.175730453756595,0.1734734742895006,0.17477348520480754,0.1769793681835409,0.180279364113162,0.18015179343281942,0.17551889083668082,0.1796882980344077,0.059102428611043395,0.05957166218842593,0.1381396595028448,0.020075108376668864,0.05663323915892987,0.024578153108382204,0.05857377566236656,-0.014341442831512142,-0.022935088132555258,1.0,0.6759447546105393,0.6759447546105427,0.142190563438838,0.06498273911113635,0.06498273911113667
ESCS,0.332695482578423,0.3305376664226993,0.3317959602469418,0.33131734625247455,0.33104385555840515,0.3299035029038832,0.3342687244900449,0.3337710765583645,0.3295056786891418,0.3345393488162055,0.10543614335941683,0.10821770840509255,0.21443267288938428,0.0622010233246994,0.0445361549589287,0.042250904245384704,0.05396749894537044,0.00037143795469136813,-0.08956307582915934,0.6759447546105393,1.0,0.9999999999999967,0.18269171430936815,0.05992921240328872,0.059929212403289724
ESCS_z,0.33269548257842485,0.3305376664226992,0.33179596024694147,0.3313173462524747,0.3310438555584072,0.32990350290387943,0.3342687244900454,0.3337710765583607,0.32950567868913855,0.3345393488162034,0.10543614335941645,0.10821770840509279,0.2144326728893822,0.06220102332469934,0.04453615495892883,0.04225090424538406,0.05396749894537011,0.0003714379546911645,-0.08956307582915901,0.6759447546105427,0.9999999999999967,1.0,0.18269171430936795,0.05992921240328835,0.059929212403289384
ST001D01T,0.13204907649250824,0.12868099102876102,0.1299146633756155,0.13117942946113512,0.13070879428648186,0.12792803621434548,0.13003462181637562,0.1297096777433686,0.12881151946764138,0.1266235635106548,0.0064968507165589435,-0.03186345780294621,0.12752115624946758,-0.06882324732324617,0.02325668302203566,0.004585131609156212,-0.0673752776184746,-0.11315637783220624,-0.1086084065054303,0.142190563438838,0.18269171430936815,0.18269171430936795,1.0,0.02685840265005548,0.026858402650055947
SCHSIZE,0.13679396826603304,0.13761860819448551,0.13180699945880897,0.13214640760403418,0.13404483445516305,0.13503227760080352,0.13512712849660283,0.13031055203905054,0.13528095343762808,0.13324513671135496,0.023497045318183425,0.04928892677914687,-0.028712157747676572,0.16658009960073208,0.01130881830987677,0.022094104901650403,0.11063522834484474,0.17629636320483763,0.1420403846590299,0.06498273911113635,0.05992921240328872,0.05992921240328835,0.02685840265005548,1.0,0.9999999999999932
SCHSIZE_z,0.1367939682660317,0.13761860819448415,0.13180699945880955,0.13214640760403473,0.13404483445516338,0.1350322776008046,0.1351271284966032,0.13031055203905173,0.13528095343762922,0.13324513671135554,0.02349704531818335,0.04928892677914696,-0.028712157747676326,0.16658009960073183,0.011308818309876827,0.022094104901650008,0.11063522834484574,0.17629636320483588,0.142040384659031,0.06498273911113667,0.059929212403289724,0.059929212403289384,0.026858402650055947,0.9999999999999932,1.0
